user_genome	classification	fastani_reference	fastani_reference_radius	fastani_taxonomy	fastani_ani	fastani_af	closest_placement_reference	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	aa_percent	translation_table	red_value	warnings
sak_2011_5_24_120m.38	d__Bacteria;p__Cloacimonadota;c__Cloacimonadia;o__JGIOTU-2;f__JGIOTU-2;g__JGIOTU-2;s__JGIOTU-2 sp000404785	GCA_000404785.1	95.0	d__Bacteria;p__Cloacimonadota;c__Cloacimonadia;o__JGIOTU-2;f__JGIOTU-2;g__JGIOTU-2;s__JGIOTU-2 sp000404785	99.53	0.89	GCA_000404785.1	d__Bacteria;p__Cloacimonadota;c__Cloacimonadia;o__JGIOTU-2;f__JGIOTU-2;g__JGIOTU-2;s__JGIOTU-2 sp000404785	99.53	0.89	d__Bacteria;p__Cloacimonadota;c__Cloacimonadia;o__JGIOTU-2;f__JGIOTU-2;g__JGIOTU-2;s__	ANI/Placement	topological placement and ANI have congruent species assignments	GCA_002049945.1, s__JGIOTU-2 sp002049945, 95.0, 86.6, 0.54	72.22	11	N/A	N/A
sak_2011_5_24_120m.66	d__Bacteria;p__Acidobacteriota;c__Aminicenantia;o__Aminicenantales;f__Aminicenantaceae;g__Aminicenans;s__Aminicenans sakinawicola	GCA_000493965.1	95.0	d__Bacteria;p__Acidobacteriota;c__Aminicenantia;o__Aminicenantales;f__Aminicenantaceae;g__Aminicenans;s__Aminicenans sakinawicola	99.7	0.92	GCA_000493965.1	d__Bacteria;p__Acidobacteriota;c__Aminicenantia;o__Aminicenantales;f__Aminicenantaceae;g__Aminicenans;s__Aminicenans sakinawicola	99.7	0.92	d__Bacteria;p__Acidobacteriota;c__Aminicenantia;o__Aminicenantales;f__Aminicenantaceae;g__;s__	ANI/Placement	topological placement and ANI have congruent species assignments	N/A	88.87	11	N/A	N/A
sak_2011_5_24_120m.46	d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__Paceibacterales;f__RBG-13-42-11;g__RBG-13-42-11;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__Paceibacterales;f__;g__;s__	Placement	taxonomic novelty determined using RED	N/A	60.24	11	0.8605660469537438	N/A
sak_2011_5_24_120m.2	d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__Paceibacterales;f__MHMH01;g__MHMH01;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__Paceibacterales;f__;g__;s__	Placement	taxonomic novelty determined using RED	N/A	43.02	11	0.8699740786476929	N/A
sak_2011_5_24_120m.13	d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__Paceibacterales;f__GWA2-38-27;g__XYB1-FULL-40-15;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__Paceibacterales;f__GWA2-38-27;g__;s__	Placement	taxonomic novelty determined using RED	N/A	61.81	11	0.8548470422228912	N/A
sak_2011_5_24_120m.7	d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__Paceibacterales;f__GBS-2;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__Paceibacterales;f__;g__;s__	Placement	taxonomic novelty determined using RED	N/A	48.37	11	0.7792842248322276	N/A
sak_2011_5_24_120m.17	d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__Paceibacterales;f__Staskawiczbacteraceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__Paceibacterales;f__Staskawiczbacteraceae;g__;s__	Placement	taxonomic novelty determined using RED	N/A	67.6	11	0.9090207283251154	N/A
sak_2011_5_24_120m.27	d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__Paceibacterales;f__UBA5738;g__UBA5738;s__	N/A	N/A	N/A	N/A	N/A	GCA_002419295.1	d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__Paceibacterales;f__UBA5738;g__UBA5738;s__UBA5738 sp002419295	78.16	0.4	d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__Paceibacterales;f__UBA5738;g__UBA5738;s__	Placement	taxonomic classification fully defined by topology	GCA_002423555.1, s__UBA5738 sp002423555, 95.0, 78.19, 0.4	58.25	11	0.9451734545687392	N/A
sak_2011_5_24_120m.4	d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__Paceibacterales;f__PEYH01;g__PEYH01;s__	N/A	N/A	N/A	N/A	N/A	GCA_002774465.1	d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__Paceibacterales;f__PEYH01;g__PEYH01;s__PEYH01 sp002774465	78.45	0.56	d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__Paceibacterales;f__;g__;s__	Placement	taxonomic novelty determined using RED	N/A	63.55	11	0.9067819672836003	N/A
sak_2011_5_24_120m.67	d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__Portnoybacterales;f__UBA2143;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__Portnoybacterales;f__UBA2143;g__;s__	Placement	taxonomic classification fully defined by topology	N/A	60.04	11	0.785291684438544	N/A
sak_2011_5_24_120m.58	d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__2-01-FULL-47-10;f__;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__;f__;g__;s__	Placement	taxonomic novelty determined using RED	N/A	65.04	11	0.6269510857401462	N/A
sak_2011_5_24_120m.60	d__Bacteria;p__Patescibacteria;c__Paceibacteria_A;o__;f__;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Patescibacteria;c__;o__;f__;g__;s__	Placement	taxonomic novelty determined using RED	N/A	70.0	11	0.5065307669400185	N/A
sak_2011_5_24_120m.45	d__Bacteria;p__Patescibacteria;c__ABY1;o__Magasanikbacterales;f__UBA922;g__UBA11710;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Patescibacteria;c__ABY1;o__Magasanikbacterales;f__UBA922;g__;s__	Placement	taxonomic novelty determined using RED	N/A	41.49	11	0.8674800044408528	N/A
sak_2011_5_24_120m.72	d__Bacteria;p__Patescibacteria;c__ABY1;o__BM507;f__GWE2-39-37;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Patescibacteria;c__ABY1;o__BM507;f__;g__;s__	Placement	taxonomic novelty determined using RED	N/A	60.44	11	0.7708152944112479	N/A
sak_2011_5_24_120m.65	d__Bacteria;p__Patescibacteria;c__ABY1;o__UBA2591;f__UBA6264;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Patescibacteria;c__ABY1;o__UBA2591;f__UBA6264;g__;s__	Placement	taxonomic novelty determined using RED	N/A	56.49	11	0.8104934863230829	N/A
sak_2011_5_24_120m.12	d__Bacteria;p__Patescibacteria;c__ABY1;o__UBA1558;f__;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Patescibacteria;c__ABY1;o__UBA1558;f__;g__;s__	Placement	taxonomic classification fully defined by topology	N/A	69.78	11	0.6464745436183668	N/A
sak_2011_5_24_120m.8	d__Bacteria;p__Patescibacteria;c__Microgenomatia;o__Shapirobacterales;f__0-14-0-10-38-17;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Patescibacteria;c__Microgenomatia;o__Shapirobacterales;f__;g__;s__	Placement	taxonomic novelty determined using RED	N/A	48.31	11	0.8081355794397472	N/A
sak_2011_5_24_120m.36	d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__Dehalococcoidales;f__UBA5760;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__Dehalococcoidales;f__UBA5760;g__;s__	Placement	taxonomic novelty determined using RED	N/A	75.5	11	0.793911031264998	N/A
sak_2011_5_24_120m.53	d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__Dehalococcoidales;f__UBA5760;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__Dehalococcoidales;f__UBA5760;g__;s__	Placement	taxonomic novelty determined using RED	N/A	52.56	11	0.8012874980674515	N/A
sak_2011_5_24_120m.55	d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__GIF9;f__UBA5629;g__UBA1162;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__GIF9;f__UBA5629;g__;s__	Placement	taxonomic novelty determined using RED	N/A	84.09	11	0.9012205498311582	N/A
sak_2011_5_24_120m.5	d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__GIF9;f__UBA5620;g__9FT-COMBO-48-23;s__	N/A	N/A	N/A	N/A	N/A	GCA_001795315.1	d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__GIF9;f__UBA5620;g__9FT-COMBO-48-23;s__9FT-COMBO-48-23 sp001795315	86.66	0.9	d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__GIF9;f__UBA5620;g__;s__	Placement	taxonomic novelty determined using RED	N/A	87.36	11	0.9352201158102929	N/A
sak_2011_5_24_120m.23	d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__GIF9;f__UBA5620;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__GIF9;f__UBA5620;g__;s__	Placement	taxonomic novelty determined using RED	N/A	66.37	11	0.7946580484134127	N/A
sak_2011_5_24_120m.39	d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__GIF9;f__AB-539-J10;g__20-14-all-45-10;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__GIF9;f__AB-539-J10;g__;s__	Placement	taxonomic novelty determined using RED	N/A	79.19	11	0.8687323067550361	N/A
sak_2011_5_24_120m.3	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__UBA7937;f__;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__;f__;g__;s__	Placement	taxonomic novelty determined using RED	N/A	68.13	11	0.6183410641578915	N/A
sak_2011_5_24_120m.73	d__Bacteria;p__Bipolaricaulota;c__Bipolaricaulia;o__UBA7950;f__UBA7950;g__UBA9294;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bipolaricaulota;c__Bipolaricaulia;o__UBA7950;f__UBA7950;g__;s__	Placement	taxonomic novelty determined using RED	N/A	56.35	11	0.8645022589882235	N/A
sak_2011_5_24_120m.43	d__Bacteria;p__Verrucomicrobiota;c__Kiritimatiellae;o__RFP12;f__;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Verrucomicrobiota;c__Kiritimatiellae;o__RFP12;f__;g__;s__	Placement	taxonomic novelty determined using RED	N/A	70.6	11	0.6737310163750758	N/A
sak_2011_5_24_120m.28	d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__SG8-4;f__SG8-4;g__SG8-4;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__SG8-4;f__SG8-4;g__;s__	Placement	taxonomic novelty determined using RED	N/A	77.98	11	0.9177853454786096	N/A
sak_2011_5_24_120m.70	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__CG2-30-32-10;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__;g__;s__	Placement	taxonomic novelty determined using RED	N/A	81.47	11	0.7778911360239372	N/A
sak_2011_5_24_120m.62	d__Bacteria;p__Desulfobacterota;c__Syntrophia;o__Syntrophales;f__;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Desulfobacterota;c__Syntrophia;o__Syntrophales;f__;g__;s__	Placement	taxonomic classification fully defined by topology	N/A	89.46	11	0.6282195110097357	N/A
sak_2011_5_24_120m.29	d__Bacteria;p__Desulfobacterota;c__Desulfomonilia;o__Desulfomonilales;f__Desulfomonilaceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Desulfobacterota;c__Desulfomonilia;o__;f__;g__;s__	Placement	taxonomic novelty determined using RED	N/A	74.27	11	0.8092663404705392	N/A
sak_2011_5_24_120m.26	d__Bacteria;p__Omnitrophota;c__koll11;o__UBA10183;f__;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Omnitrophota;c__koll11;o__;f__;g__;s__	Placement	taxonomic novelty determined using RED	N/A	49.09	11	0.5695886630842499	N/A
sak_2011_5_24_120m.57	d__Bacteria;p__Omnitrophota;c__koll11;o__UBA1560;f__Omnitrophaceae_A;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Omnitrophota;c__koll11;o__UBA1560;f__;g__;s__	Placement	taxonomic novelty determined using RED	N/A	81.43	11	0.7715408314495149	N/A
